# Constructed from biom file
#OTU ID	m54271_200325
00ffd1d86fc6a9843b879f91478334697e71f883	1.0
24487c512f5317f25a31352973b9fcf91a284e8d	5.0
1811c707f509a94357f8bc76bcae64c6795cf6ea	9.0
ef89eb4848c3d45d16d6af0411b70677be5a929d	1.0
d6be0d35be5313bc2ff8cddfcb703823fd0cd2ed	1.0
17bfdcba746ad15a1ec67fff2eaf25d862512246	1.0
5548591a40872c57ef3706506da03f19b8cad4fd	1.0
bd6d7976aa593143033c08697fa6e2745f751aef	1.0
e3cb4bdb1cd52d266c44913b49507cca7f0ac60b	1.0
526a651101fc64caf9d84a6df03ced6b23c03115	1.0
65659e194aebbf99cb7dee23bbc519e706859ce6	1.0
53185287fb10e158eeabd408eab62db81d59f4fb	1.0
e3061d5c8bd31910f3651593f753ec46cec90c0a	2.0
7d5fcc6a72f95f8ebeb2ffe886cbc9396a6a48f4	1.0
7de27ef37c73c47d06314a6f382dc3eee3c73e09	1.0
23b1ecc3dac49b93a424c30bf85ed94cb230eab5	1.0
53667f0f86df7aa0279d780bd98cedec90a05a91	1.0
d7fc8cca13196dae3248974c37092ec02d632c84	1.0
23a88626c14ad7f75bc0ffa800595f32bbf19a00	1.0
f8b8f67e037a4b1e67473bb7d62b070bf3bf1ea1	1.0
ca243b41144697d9a571f222173c1f1a779b5a07	1.0
c4de2da04b260263402a137f1d8aa9e35e4b85de	1.0
2669d1b74d51272d749401f162cab9660aa81efa	1.0
0bcde4787b392996ffd33663dd1216989836c8a8	1.0
c2e8686edf1b5f861fcb13e7beaa6edd3567e1bc	1.0
f2cea7613a1ed934e3d63b2f32f8519baa3262b7	1.0
9ca581a171d6ff980184528707ea6bd2d1c924da	1.0
1675f108feccb8ab637fc5af5b633f5cabffebe3	1.0
125869cc259d6f26fe5366ab77d0e0b9fa83e72a	2.0
3d3fa82f08c505aea198972203e0b1659806c964	3.0
a4bc033bb059a541717a7674aad66c134541e2ed	1.0
e572290c4e4d9b294f91b1b78d64f1982449f6e4	1.0
0c21247af6fde5c942b4511599b236ff590afdaf	1.0
